route,has_requireAdminAuth,has_requireUserSession
app/api/admin-proxy/urgency/route.ts,yes,no
app/api/admin/auth/route.ts,no,no
app/api/admin/check-profile/route.ts,yes,no
app/api/admin/consistency-check/route.ts,yes,no
app/api/admin/evidence/[userId]/route.ts,yes,no
app/api/admin/pattern-profile/route.ts,yes,no
app/api/admin/research-export/route.ts,yes,no
app/api/admin/skill-data/route.ts,yes,no
app/api/admin/urgency/route.ts,yes,no
app/api/admin/user-ids/route.ts,yes,no
app/api/advisor-briefing/route.ts,yes,no
app/api/content/validate/route.ts,no,no
app/api/health/db/route.ts,no,no
app/api/health/route.ts,no,no
app/api/health/storage/route.ts,no,no
app/api/log-error/route.ts,no,no
app/api/samuel-dialogue/route.ts,no,yes
app/api/test-env/route.ts,no,no
app/api/user/action-plan/route.ts,no,yes
app/api/user/career-analytics/route.ts,no,yes
app/api/user/career-explorations/route.ts,no,yes
app/api/user/interaction-events/route.ts,no,yes
app/api/user/pattern-demonstrations/route.ts,no,yes
app/api/user/pattern-profile/route.ts,no,yes
app/api/user/platform-state/route.ts,no,yes
app/api/user/profile/route.ts,no,yes
app/api/user/relationship-progress/route.ts,no,yes
app/api/user/session/route.ts,no,no
app/api/user/skill-demonstrations/route.ts,no,yes
app/api/user/skill-summaries/route.ts,no,yes
