Top pages,Clicks,Impressions,CTR,Position
https://orbdoc.com/,131,1216,10.77%,11.81
https://orbdoc.com/about,12,616,1.95%,8.64
https://orbdoc.com/blog/chai-2025-healthcare-ai-inflection-point,8,1115,0.72%,12.83
https://orbdoc.com/ai-medical-scribe,4,965,0.41%,54.39
https://orbdoc.com/contact,4,193,2.07%,10.04
https://orbdoc.com/faq.html,4,96,4.17%,10.15
https://orbdoc.com/solutions/rural-healthcare,3,229,1.31%,23.17
https://orbdoc.com/pricing,3,60,5%,21.58
https://orbdoc.com/middle-east,2,102,1.96%,5.74
https://orbdoc.com/blog/watchful-orbs,1,504,0.2%,26.66
https://orbdoc.com/blog/the-next-evolution-of-healthcare-ai,1,361,0.28%,24.29
https://orbdoc.com/orbmed,1,87,1.15%,24.22
https://orbdoc.com/solutions/community-health-centers,1,77,1.3%,40.29
https://orbdoc.com/privacy-policy,1,68,1.47%,40.13
https://orbdoc.com/solutions/primary-care,1,32,3.12%,37.22
https://orbdoc.com/case-studies/medication-adherence,1,29,3.45%,34.79
https://orbdoc.com/solutions/integrated-delivery-networks,0,1475,0%,83.3
https://orbdoc.com/blog/healthcares-decisive-decade,0,506,0%,10.36
https://orbdoc.com/blog,0,504,0%,17.22
https://orbdoc.com/faq,0,222,0%,12
https://orbdoc.com/comprehensive-faq,0,173,0%,19.76
https://orbdoc.com/solutions/population-health,0,120,0%,8.29
https://orbdoc.com/solutions/diabetes-care,0,107,0%,27.31
https://orbdoc.com/#features,0,98,0%,3.87
https://orbdoc.com/#how-it-works,0,98,0%,3.87
https://orbdoc.com/#testimonals,0,98,0%,3.87
https://orbdoc.com/request-demo,0,88,0%,6.93
https://orbdoc.com/solutions/emergency-department,0,69,0%,37.54
https://orbdoc.com/medicare-star-ratings,0,51,0%,68.35
https://orbdoc.com/blog/amplifying-clinical-excellence-through-technology,0,47,0%,29.83
https://orbdoc.com/terms-of-use,0,40,0%,33.58
https://orbdoc.com/reimbursement-coding,0,32,0%,41.81
https://orbdoc.com/case-studies/regional-health-system,0,24,0%,6.08
https://orbdoc.com/solutions/insurance-payers,0,22,0%,11.95
https://orbdoc.com/solutions/safety-net-hospitals,0,11,0%,23.73
https://orbdoc.com/orbdischarge,0,9,0%,10.22
https://orbdoc.com/privacy-policy.html,0,3,0%,7.67
https://orbdoc.com/blog/american-southeast-building-healthcare-future,0,2,0%,10.5
