Top queries,Clicks,Impressions,CTR,Position
orbdoc,62,104,59.62%,1.53
orbvoice,6,9,66.67%,1
ai medical documentation,0,823,0%,84.02
medical documentation ai,0,431,0%,80.05
medical scribe software,0,353,0%,49.4
ai for medical documentation,0,138,0%,86.91
orb real-time insights,0,123,0%,83.95
ai medical scribe software,0,90,0%,49.41
chai conference,0,64,0%,9.25
ai+medical+documentation,0,63,0%,85.02
population health scribe,0,61,0%,15.64
orb ai,0,60,0%,27.35
population health medical scribe,0,54,0%,8.78
offline medical scribe,0,48,0%,88.15
chai conference 2025,0,44,0%,7.8
voice orb,0,44,0%,8.25
virtual scribe software for doctors,0,44,0%,90.27
ai evolution 2025,0,41,0%,73.2
ai medical scribe,0,40,0%,63.23
orb blog,0,37,0%,9.76
medical+documentation+ai,0,36,0%,82.06
endocrinology ai scribe,0,33,0%,7.21
evolution of ai in healthcare,0,28,0%,45.5
ai medical scribe automation,0,28,0%,69.18
orb documentation,0,27,0%,24.85
orb health,0,27,0%,34.33
ai scribe integration,0,27,0%,81.7
medical ai scribe software,0,25,0%,79.2
ed medical scribe,0,23,0%,61.17
ai scribe software,0,22,0%,60.86
endocrinology scribe ai scribe,0,20,0%,39.45
chai artificial intelligence,0,19,0%,50.32
medical scribe ai software,0,19,0%,57.58
improve star ratings,0,19,0%,87.79
chai 2025,0,18,0%,6.33
doc orb,0,17,0%,3.24
endocrinology scribe,0,17,0%,19.12
ai scribe automation tool,0,16,0%,66
orb continuous monitoring,0,15,0%,17.73
chai healthcare,0,15,0%,41.33
chai update 2025,0,14,0%,9.29
family medicine scribe,0,14,0%,81.71
ai medical scribe workflow,0,14,0%,84.79
orb healthcare,0,11,0%,8.09
accurate billing and reimbursement,0,11,0%,56.73
orb platform support,0,11,0%,69.55
ai medical scribe cost,0,11,0%,96.36
health inflection moments,0,9,0%,64.11
ai for endocrinology,0,9,0%,95.33
urgent care multilocation endpoint protection,0,8,0%,26.38
orb insight analysis,0,8,0%,30.75
orb responsiveness score,0,8,0%,50.62
ambient ai platform case study,0,8,0%,77.88
orb medical,0,7,0%,14.57
orb website,0,7,0%,49.57
fqhc uds reporting solutions,0,7,0%,70.71
orb privacy policy,0,6,0%,18.33
orb support contact,0,6,0%,50.5
chai health,0,6,0%,56
ai medical transcription software,0,6,0%,83.33
ai medical dictation compliance,0,6,0%,85.5
fqhc uds report,0,6,0%,89.5
improve medicare star ratings,0,6,0%,98.33
ai scribe emergency medicine,0,5,0%,27.2
orb medical term,0,5,0%,28
automated clinical documentation,0,5,0%,91.6
cms star ratings for medication adherence,0,5,0%,93.6
coding accuracy,0,5,0%,101.8
orb ai microbial monitoring,0,4,0%,13.75
ed ai scribe,0,4,0%,23.75
automated medical scribe,0,4,0%,33.5
ai in healthcare 2025,0,4,0%,61.25
chai ai ceo,0,4,0%,74
ai advancements in healthcare 2025,0,4,0%,76
ai scribe medical documentation,0,4,0%,80.75
orb device support,0,4,0%,81.5
workforce transformation solutions comparison,0,4,0%,85
genuine clinical solutions,0,4,0%,87.75
ai voice orb,0,3,0%,8
most advanced approach to full-body health intelligence 2025,0,3,0%,11
chai health ai,0,3,0%,33.67
ai orb,0,3,0%,38.33
emergency medicine scribe ai scribe,0,3,0%,51.33
ai+medical+scribe,0,3,0%,62.33
memo orb,0,3,0%,68.67
obstetrics ai scribe,0,3,0%,71.67
automated clinical notes,0,3,0%,74.33
outpatient ai scribe,0,3,0%,75.67
medicare stars and risk adjustment,0,3,0%,78.33
orb enterprise pricing,0,3,0%,78.33
orb health careers,0,3,0%,82
deepgram baa,0,3,0%,84
ai driven medication management,0,3,0%,90
geriatrics ai scribe,0,3,0%,90.67
scribe software,0,3,0%,92.33
ai scribe for ehr,0,3,0%,97.67
automated medical notes,0,3,0%,98
uds for fqhc,0,3,0%,98.67
local guide program,0,2,0%,1
emergency medicine ai scribe,0,2,0%,32.5
orb app store,0,2,0%,40.5
orb downtime alerts,0,2,0%,50.5
chai stanford,0,2,0%,52.5
ai and fqhcs,0,2,0%,53.5
doc scribe,0,2,0%,55.5
ai-driven automation reimbursement solutions,0,2,0%,57.5
how has healthcare changed in the last 10 years,0,2,0%,65
ai clinical documentation software,0,2,0%,81.5
how accurate is orb,0,2,0%,82.5
ai scribing software,0,2,0%,83
ai medical scribe workflow optimization,0,2,0%,92
ai scribe service,0,2,0%,93.5
urgent care ai scribe,0,2,0%,94
emergency scribe,0,2,0%,95
"based on optum's infrastructure or technology setup, what deployment model 
does optum (optum.com) use? the answer should be cloud, multi-cloud, 
hybrid, or on-prem.",0,1,0%,5
ai algorithm evolution in medical diagnosis next 3 years,0,1,0%,6
insurance orb,0,1,0%,6
chai global summit,0,1,0%,10
muwwakkil,0,1,0%,10
orb,0,1,0%,10
palmhead management,0,1,0%,12
chai app outage may 2025,0,1,0%,17
chai ai healthcare,0,1,0%,18
orb docs,0,1,0%,24
ed scribe ai,0,1,0%,25
orb eye care reviews,0,1,0%,25
chai healthcare ai,0,1,0%,33
what devices support orb,0,1,0%,34
stanford chai,0,1,0%,36
orb screen recorder,0,1,0%,38
why isn't chai working,0,1,0%,40
cardio orb,0,1,0%,41
scribe how demo,0,1,0%,41
new wave of ai in healthcare,0,1,0%,42
ready doc software,0,1,0%,45
doc blog,0,1,0%,49
ai medical dictation software,0,1,0%,52
chai project,0,1,0%,52
coalition for health ai,0,1,0%,52
cms star ratings improvement solutions,0,1,0%,54
doc.com app,0,1,0%,58
watchful ai,0,1,0%,58
with orb,0,1,0%,58
ai medical scribe solutions,0,1,0%,59
watchful.ai,0,1,0%,61
chai ai guidelines,0,1,0%,65
medscribe ai,0,1,0%,67
medication adherence ai,0,1,0%,68
major changes in healthcare in the last 10 years,0,1,0%,73
orb wellness,0,1,0%,75
chai discovery ceo,0,1,0%,79
how to download orb app,0,1,0%,80
automatic clinical note,0,1,0%,81
ai+medical+transcription+software,0,1,0%,83
fqhc productivity solutions,0,1,0%,83
сайт док,0,1,0%,86
automated prescription verification,0,1,0%,87
ai+for+medical+documentation,0,1,0%,90
chai ai policy,0,1,0%,91
orb delivering excellence,0,1,0%,92
doc.com inc,0,1,0%,93
medical scribe ai,0,1,0%,94
scribing software,0,1,0%,95
automate clinical notes,0,1,0%,97
orb pharma,0,1,0%,97
scribe automation,0,1,0%,98
chai ai terms of service,0,1,0%,99
payer performance metrics,0,1,0%,102
