Date,Not indexed,Indexed,Impressions
2025-07-03,,,64
2025-07-04,4173,14,43
2025-07-05,4148,24,41
2025-07-06,4148,24,92
2025-07-07,4148,24,103
2025-07-08,4114,30,126
2025-07-09,4114,30,95
2025-07-10,4114,30,140
2025-07-11,4114,30,153
2025-07-12,4087,32,135
2025-07-13,4087,32,185
2025-07-14,4087,32,173
2025-07-15,4048,32,180
2025-07-16,4048,32,194
2025-07-17,4048,32,232
2025-07-18,4048,32,768
2025-07-19,4018,29,688
2025-07-20,4018,29,260
2025-07-21,4018,29,80
2025-07-22,3983,29,88
2025-07-23,3983,29,70
2025-07-24,3983,29,81
2025-07-25,3983,29,40
2025-07-26,3947,29,54
2025-07-27,3947,29,60
2025-07-28,3947,29,84
2025-07-29,3900,29,90
2025-07-30,3900,29,71
2025-07-31,3900,29,62
2025-08-01,3900,29,62
2025-08-02,3878,29,45
2025-08-03,3878,29,51
2025-08-04,3878,29,69
2025-08-05,3774,29,69
2025-08-06,3774,29,75
2025-08-07,3774,29,101
2025-08-08,3774,29,109
2025-08-09,3563,28,63
2025-08-10,3563,28,70
2025-08-11,3563,28,94
2025-08-12,3245,27,69
2025-08-13,3245,27,64
2025-08-14,3245,27,74
2025-08-15,3245,27,74
2025-08-16,3137,27,51
2025-08-17,3137,27,62
2025-08-18,3137,27,56
2025-08-19,2971,25,57
2025-08-20,2971,25,63
2025-08-21,2971,25,48
2025-08-22,2971,25,57
2025-08-23,2765,23,31
2025-08-24,2765,23,36
2025-08-25,2765,23,55
2025-08-26,2576,23,35
2025-08-27,2576,23,53
2025-08-28,2576,23,51
2025-08-29,2576,23,77
2025-08-30,2504,23,34
2025-08-31,2504,23,38
2025-09-01,2504,23,63
2025-09-02,2372,19,31
2025-09-03,2372,19,50
2025-09-04,2372,19,46
2025-09-05,2372,19,53
2025-09-06,2340,17,20
2025-09-07,2340,17,34
2025-09-08,2340,17,48
2025-09-09,2335,13,36
2025-09-10,2335,13,24
2025-09-11,2335,13,31
2025-09-12,2335,13,17
2025-09-13,2313,13,25
2025-09-14,2313,13,54
2025-09-15,2313,13,43
2025-09-16,2261,14,46
2025-09-17,2261,14,41
2025-09-18,2261,14,27
2025-09-19,2261,14,14
2025-09-20,2253,14,10
2025-09-21,2253,14,54
2025-09-22,2253,14,33
2025-09-23,2247,14,27
2025-09-24,2247,14,28
2025-09-25,2247,14,16
2025-09-26,2247,14,23
