Reason,Source,Validation,Pages
Not found (404),Website,Not Started,678
Alternate page with proper canonical tag,Website,Not Started,50
Page with redirect,Website,Not Started,39
Duplicate without user-selected canonical,Website,Not Started,35
Redirect error,Website,Not Started,23
Blocked due to other 4xx issue,Website,Not Started,1
Soft 404,Website,Not Started,1
Crawled - currently not indexed,Google systems,Not Started,1420
"Duplicate, Google chose different canonical than user",Google systems,N/A,0
Discovered - currently not indexed,Google systems,N/A,0
