Country,Clicks,Impressions,CTR,Position
United States,87,5895,1.48%,38.68
India,13,237,5.49%,21.48
Pakistan,7,51,13.73%,9.65
Ethiopia,6,20,30%,4.75
United Kingdom,5,289,1.73%,52.43
United Arab Emirates,5,26,19.23%,9.27
Bangladesh,5,8,62.5%,2.12
Saudi Arabia,3,30,10%,12.23
Egypt,3,18,16.67%,12.28
Sri Lanka,3,8,37.5%,4.75
Canada,2,182,1.1%,39.51
Kenya,2,7,28.57%,17.57
Morocco,2,4,50%,18
Serbia,2,2,100%,2
France,1,74,1.35%,42.69
Brazil,1,36,2.78%,35.42
Netherlands,1,30,3.33%,13.37
Australia,1,25,4%,39
Israel,1,15,6.67%,6.47
Spain,1,13,7.69%,13.54
New Zealand,1,13,7.69%,18.77
Turkey,1,13,7.69%,28.38
Malaysia,1,8,12.5%,15.75
Thailand,1,8,12.5%,36.5
Colombia,1,7,14.29%,4.14
Switzerland,1,7,14.29%,7.14
Jordan,1,7,14.29%,15
Nigeria,1,7,14.29%,33.43
Qatar,1,5,20%,20
Algeria,1,5,20%,32.6
Iran,1,4,25%,5
Taiwan,1,3,33.33%,9
Moldova,1,1,100%,2
Germany,0,59,0%,27.37
Philippines,0,39,0%,25.05
Russia,0,29,0%,46.14
Mexico,0,25,0%,6.68
Japan,0,21,0%,12.95
Italy,0,21,0%,15.81
Singapore,0,17,0%,8.65
Indonesia,0,17,0%,28.53
Poland,0,14,0%,22.79
Ukraine,0,14,0%,34.43
Portugal,0,12,0%,15.25
Vietnam,0,12,0%,40.75
Hong Kong,0,10,0%,4.4
Iraq,0,10,0%,22.4
Ireland,0,10,0%,26.2
South Africa,0,10,0%,47.4
South Korea,0,8,0%,28.62
Argentina,0,8,0%,72.38
Sweden,0,7,0%,15.57
Kazakhstan,0,6,0%,9.33
Venezuela,0,6,0%,16.83
Romania,0,6,0%,20.17
Georgia,0,5,0%,5.4
Croatia,0,5,0%,8.8
Hungary,0,5,0%,12.2
Finland,0,5,0%,26.4
Czechia,0,5,0%,27.4
Lebanon,0,4,0%,7.25
Uzbekistan,0,4,0%,7.25
Norway,0,4,0%,7.5
Belgium,0,4,0%,8.5
Ecuador,0,4,0%,10.5
Puerto Rico,0,4,0%,25.25
Madagascar,0,3,0%,1
Montenegro,0,3,0%,1
Lithuania,0,3,0%,33.33
Slovakia,0,3,0%,33.67
Greece,0,3,0%,44
Nepal,0,3,0%,46
Yemen,0,2,0%,2
Peru,0,2,0%,4
Cameroon,0,2,0%,6.5
Tunisia,0,2,0%,8
Libya,0,2,0%,12
Syria,0,2,0%,13
China,0,2,0%,29
Jamaica,0,2,0%,36.5
Kuwait,0,2,0%,40.5
Trinidad & Tobago,0,2,0%,53.5
Belarus,0,2,0%,81.5
Mongolia,0,1,0%,1
Palestine,0,1,0%,2
Bulgaria,0,1,0%,5
Guernsey,0,1,0%,5
Cambodia,0,1,0%,5
Bahrain,0,1,0%,6
Angola,0,1,0%,7
Austria,0,1,0%,8
Barbados,0,1,0%,8
Eritrea,0,1,0%,8
Guam,0,1,0%,8
Denmark,0,1,0%,11
Slovenia,0,1,0%,12
Oman,0,1,0%,39
Myanmar (Burma),0,1,0%,41
Zimbabwe,0,1,0%,49
Armenia,0,1,0%,53
Bosnia & Herzegovina,0,1,0%,76
Senegal,0,1,0%,77
Paraguay,0,1,0%,81
