Date,Clicks,Impressions,CTR,Position
2025-09-30,3,41,7.32%,8
2025-09-29,1,23,4.35%,6.48
2025-09-28,0,19,0%,7.89
2025-09-27,0,23,0%,8.52
2025-09-26,1,16,6.25%,4.62
2025-09-25,0,28,0%,9.93
2025-09-24,2,27,7.41%,6.41
2025-09-23,0,33,0%,6.18
2025-09-22,6,54,11.11%,6.8
2025-09-21,0,10,0%,8.4
2025-09-20,0,14,0%,6.71
2025-09-19,2,27,7.41%,15.37
2025-09-18,1,41,2.44%,5.44
2025-09-17,4,46,8.7%,10.46
2025-09-16,4,43,9.3%,8
2025-09-15,4,54,7.41%,9.44
2025-09-14,0,25,0%,14.12
2025-09-13,1,17,5.88%,18
2025-09-12,3,31,9.68%,11.1
2025-09-11,0,24,0%,16.88
2025-09-10,1,36,2.78%,13.69
2025-09-09,1,48,2.08%,10.25
2025-09-08,0,34,0%,16.74
2025-09-07,1,20,5%,17.15
2025-09-06,3,53,5.66%,33.87
2025-09-05,3,46,6.52%,18.83
2025-09-04,2,50,4%,14.98
2025-09-03,2,31,6.45%,12.35
2025-09-02,1,63,1.59%,14.1
2025-09-01,1,38,2.63%,26.71
2025-08-31,2,34,5.88%,20.18
2025-08-30,1,77,1.3%,39.26
2025-08-29,4,51,7.84%,22.94
2025-08-28,2,53,3.77%,14.75
2025-08-27,1,35,2.86%,21.17
2025-08-26,1,55,1.82%,14.6
2025-08-25,3,36,8.33%,21.03
2025-08-24,1,31,3.23%,23.58
2025-08-23,2,57,3.51%,40.6
2025-08-22,0,48,0%,29.23
2025-08-21,0,63,0%,38.1
2025-08-20,2,57,3.51%,32.68
2025-08-19,2,56,3.57%,36.46
2025-08-18,1,62,1.61%,28.27
2025-08-17,1,51,1.96%,35.67
2025-08-16,1,74,1.35%,46.24
2025-08-15,4,74,5.41%,25.73
2025-08-14,0,64,0%,22.94
2025-08-13,7,69,10.14%,21.97
2025-08-12,3,94,3.19%,18
2025-08-11,1,70,1.43%,25.39
2025-08-10,0,63,0%,26.94
2025-08-09,0,109,0%,41.26
2025-08-08,1,101,0.99%,26.96
2025-08-07,2,75,2.67%,23.95
2025-08-06,4,69,5.8%,20.12
2025-08-05,1,69,1.45%,13.57
2025-08-04,0,51,0%,15.92
2025-08-03,2,45,4.44%,31.18
2025-08-02,1,62,1.61%,27.15
2025-08-01,3,62,4.84%,17.15
2025-07-31,3,71,4.23%,19.34
2025-07-30,2,90,2.22%,11.23
2025-07-29,0,84,0%,11.42
2025-07-28,5,60,8.33%,16.98
2025-07-27,1,54,1.85%,30.44
2025-07-26,3,40,7.5%,23.75
2025-07-25,0,81,0%,12.42
2025-07-24,4,70,5.71%,10.9
2025-07-23,2,88,2.27%,8.42
2025-07-22,4,80,5%,37.01
2025-07-21,0,260,0%,53.08
2025-07-20,3,688,0.44%,74.4
2025-07-19,1,768,0.13%,74.23
2025-07-18,1,232,0.43%,53.13
2025-07-17,1,194,0.52%,43.35
2025-07-16,5,180,2.78%,41.17
2025-07-15,1,173,0.58%,37.75
2025-07-14,1,185,0.54%,44.58
2025-07-13,0,135,0%,39.89
2025-07-12,6,153,3.92%,43.33
2025-07-11,1,140,0.71%,33.42
2025-07-10,4,95,4.21%,34.62
2025-07-09,4,126,3.17%,17.79
2025-07-08,4,103,3.88%,21.99
2025-07-07,3,92,3.26%,22.09
2025-07-06,0,41,0%,18.71
2025-07-05,0,43,0%,32.65
2025-07-04,2,64,3.12%,24.7
2025-07-03,0,44,0%,24.02
2025-07-02,1,79,1.27%,14.41
2025-07-01,2,83,2.41%,15.02
